serial_no,h1_cd,h2_cd,h3_cd,td_desc,mark_id_char
87812812,"03,19,25,26","315,190,925,032,619","31,501,190,903,190,900,000,000,000,000","the mark consists of a three-dimensional configuration of a pyramid array design pattern on the body of a bottle, and a design of an eagle appearing between the pyramid array design pattern and the neck of the bottle. the outline of the bottle and the bottle neck are shown in dotted lines to indicate that the shape of the bottle and the bottle neck are not claimed as a feature of the mark, but are merely shown in the drawing to indicate the placement of the mark in relation to the bottle and the bottle neck.  eagles    jars with straight or vertical sides; flasks with straight or vertical sides; bottles, jars or flasks with straight, vertical sides    jars with ribbing or other surface relief; flasks with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief    repetitive designs, words, or letters as a background; backgrounds covered with other figurative elements or repetitive designs, words or letters    pyramids; prisms",
87812863,"03,05","3,150,503","31,525,050,310","the mark consists of stylized branch with leaves, and two stylized birds sitting on the branch.  stylized birds    cardinals; crows; blackbirds; jays; other birds not categorized elsewhere; ravens; robins; woodpeckers    other branches with leaves, with or without fruit",
87812898,"06,09,26","60,909,012,615","60,908,090,102,261,500","the mark consists of a stitched home plate shape positioned at the back neckline of a garment. the broken lines depicting the garment are not part of the mark.  tennis courts; racquet ball court; arenas, indoor; athletic fields (except stadiums and arenas); baseball fields; basketball courts; bowling lanes; playing fields; football fields; diamonds, baseball; courts, athletic    stitching, not on clothing pockets; embroidery; labels, clothing    polygons (incomplete); polygons made with broken lines; incomplete polygons and polygons made of broken or dotted lines",
87813486,"02,04","2,010,211,040,104,070,000","20,134,021,125,040,100,000,000,000,000","the mark consists of an anthromoporphic white blood cell that is smiling with teeth, an eye mask, and a cape.  other grotesque including men formed by plants or objects; monsters (not robots)    nose, human; blood vessels, human; lungs, human; intestines, human; human, other parts of the body; buttocks, human; brain, human; spine, human; tongue, human; nerves, human    zeus (mythology); aliens; apollo (mythology); athena (mythology); caped characters (super heroes); super heroes; mythological beings, superbeings, ghosts, aliens; ghosts    person formed by objects; objects forming a person    masks, halloween (costume); masks, theatrical masks; face masks (costume)",
87813935,"03,24","31,503,172,401","31,501,031,524,031,700,000,000","the mark consists of a design of a shield with a border, an inner border, and a filled center. appearing in front of and within the shield is a stylized design of an eagle head.  eagles    stylized birds    heads of birds    shields or crests with figurative elements contained therein or superimposed thereon",
87814164,26,2617,261725,"the mark consists of stylized geometric design.  other lines, bands or bars",
87814755,22,2201,"220,106,220,125","the mark consists of a stylized classic guitar hanging from its strap.  guitars; ukuleles; banjos    instrument cases (musical); harmonicas; drumsticks (musical instrument); conductor's wands, batons; bows, violin; batons, orchestra conductor's; picks, guitar; wands, conductors' and magicians'; music stands",
87815683,28,2801,280103,the mark consists of two chinese characters separated by a space.  japanese characters; japanese and chinese characters; chinese characters,
87816538,12,1201,120104,"the mark consists of a three-dimensional configuration of a chair with the two rear legs slanted forward and continuing, slightly curved, above the seat portion to support a curved back rest forming the top of the chair, a woven paper cord seat higher in the front than the rear and a wishbone or y-shaped piece connecting the rear of the seat portion to the curved back rest forming the top of the chair. two parallel side supports or braces connect each front leg with the corresponding rear leg. above the side pieces, a front piece connects the two front legs; the piece is wider in the center and narrower at each end. beneath the side pieces, a rear piece connects the two rear legs; the piece is wider in the center and narrower at each end. the broken lines depicting the chair legs indicate placement of the mark on the goods and are not part of the mark.  stools; step stools; rocking chairs; ottomans; arm chairs; chairs, (bean bag, desk, dining, folding, high, rocking, chaise lounge); booster chairs, baby; bean bag chairs; bar stools; high chairs",
87817317,"05,26","5,052,601","50,505,050,525,260,100,000,000","the mark consists of a stylized design of a daisy flower consisting of small central circle with 8 biconvex-shaped petals around it. each petal and the central circle are bordered by an additional line. the flower design is overlaid on a design comprised of many concentric circles.  daisies    iris  (flower); other flowers; daffodils    three or more concentric circles; concentric circles, three or more; circles, three or more concentric    circles that are totally or partially shaded.",
87818061,"26,28","26,012,801","260,117,280,103","the mark consists of two stylized chinese characters. the characters are pronounced ""shang-mian"", which roughly translates to ""premium noodle"" in english. the characters are located in two circular shaped objects, one circular shaped object being more pronounced than the other, both of which resemble stylized noodles.  two concentric circles; concentric circles, two; circles, two concentric    japanese characters; chinese characters; japanese and chinese characters",
87818106,28,2801,280103,"the mark consists of two large stylized chinese characters and a stamp-like image to lower left of the larger stylized chinese characters. the two characters are pronounced ""jiang-xin,"" which roughly translates to ""artisan spirit"" in english. the stamp-like image consists of two stylized chinese characters. the two chinese characters in the stamp-like image are pronounced ""shang-mian,"" which roughly translates to ""premium noodle"" or ""preeminent noodle"" in english.  japanese characters; japanese and chinese characters; chinese characters",
87818325,"24,26","24,152,601","241,504,260,126",the mark consists of a spiral antenna shape with an arrow pointing up towards the right.  arrowheads    spirals; coils; swirls,
87818365,15,1507,150725,"the mark consists of a three-dimensional configuration of an automotive vehicle wheel front face comprised of: a series of ten spokes each extending from an outboard location to an inboard location, wherein each spoke projects further outwardly in an axial direction relative to a central axis of the wheel at the inboard location than it does at the outboard location, and further wherein each spoke tapers inwardly as it extends from the inboard location to the outboard location; and a series of spaces each disposed between a respective pair of adjacent spokes, and each having a triangular shape with the vertices of the triangle being rounded. broken lines depicting lug nuts, lug holes, and circular shape of the wheel and outer rim indicate placement of the mark on the goods and are not part of the mark. the stippling is for shading purposes only.  wheels with tires; casters, wheels; hubcaps; wheels (without spokes)",
87818369,15,1507,150725,"the mark consists of a three-dimensional configuration of an automotive vehicle wheel front face comprised of: a series of twelve spokes each extending from an outboard location to an inboard location, wherein each spoke projects further outwardly in an axial direction relative to a central axis of the wheel at the inboard location than it does at the outboard location, and further wherein each spoke tapers inwardly as it extends from the inboard location to the outboard location; and a series of spaces each disposed between a respective pair of adjacent spokes, and each having a triangular shape with the vertices of the triangle being rounded. broken lines depicting bolts, bolt holes, lug nuts, lug holes, and circular shape of the wheel and outer rim indicate placement of the mark on the goods and are not part of the mark.  wheels with tires; casters, wheels; hubcaps; wheels (without spokes)",
87818985,"01,02,24","115,011,702,112,421","11,508,011,725,021,100,000,000","the mark consists of a winking and smiling emoji set within a recognizable map pin icon on top of gridlines that resemble a map.  single drop (rain, tear, etc.); teardrop (a single drop); raindrop (a single drop)    counties (maps); maps or outlines of other geographical areas; cities (maps); bodies of water (maps)    smiley faces; faces, smiley    pins, arrows, flags, and other markers denoting electronic mapping, location, and navigation; map pin and flag symbols used in electronic navigation; navigation and locator marker symbols used in electronic mapping",
87821236,"02,19","2,111,909","21,101,190,925","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a red heart design sitting within a gold stand. the front of the gold stand has four indentation that go horizontally across the stand. the broken lines depicting the heart shaped bottle indicate placement of the mark on the goods and are not part of the mark.  hearts excluding hearts as carriers or depicted on playing cards    other bottles, jars or flasks",
87821241,"01,19","11,519,091,911","11,508,190,902,191,100","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a bottle and top which form the shape of a teardrop. the top is colored in gold with vertical indentations and brown crystals around the base of the top. the top half of the bottle is in grey crystal design with the bottom half of the bottle being in black crystal design. in the middle of the bottle is an oblong oval shape outlined in gold with nine grey irregular shapes forming a vertical line in the middle of the oval. the broken lines depicting the shape of the bottle and bottle top indicate placement of the mark on the goods and are not part of the mark.  single drop (rain, tear, etc.); teardrop (a single drop); raindrop (a single drop)    flasks with bulging or protruding sides; jars with bulging or protruding sides; bottles, jars or flasks with bulging, protruding or rounded sides    stoppers, bottle; lids; corks (bottle stoppers); caps, bottle; bottle caps",
87821249,"17,19","170,319,091,911","170,301,190,902,191,000","the mark consists of three-dimensional configuration of product packaging in the form of a fragrance bottle. the top and bottle form half of a black diamond shape, with the front portion forming a flat hexagonal shape with multiple facets. the broken lines depicting the shape of the bottle and bottle top indicate placement of the mark on the goods and are not part of the mark.  diamonds, jewelry; stones, gems; nuggets of precious metals    flasks with bulging or protruding sides; jars with bulging or protruding sides; bottles, jars or flasks with bulging, protruding or rounded sides    stoppers, bottle; lids; corks (bottle stoppers); caps, bottle; bottle caps",
87821299,"17,19,26","170,319,091,911,260,000,000,000","170,301,190,903,190,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a hexagonal prism shaped bottle with a hexagonal prism shaped bottle top. the upward facing hexagon side of the bottle top is colored in gold with a black outline and containing a concentric gold hexagon indentation having a black single line outline. the outward facing sides of the bottle top feature a gold, black and brown crystalline design pattern. the forward facing side of the bottle top features concentric gold colored square designs where the corner of each square is indented. the outward facing sides of the bottle feature a gold, black and brown crystalline design pattern. the forward facing side of the bottle features concentric gold colored rectangle designs where the corner of each rectangle is indented. the broken lines depicting the shape of the bottle and bottle top indicate placement of the mark on the goods and are not part of the mark.  stones, gems; nuggets of precious metals; diamonds, jewelry    jars with straight or vertical sides; flasks with straight or vertical sides; bottles, jars or flasks with straight, vertical sides    jars with ribbing or other surface relief; flasks with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief    bottles with sprayers; jugs with pumps; jugs with sprayers; sprayers, bottles or jugs with sprayers; bottles with pumps; atomizers    stoppers, bottle; lids; corks (bottle stoppers); caps, bottle; bottle caps    squares with a decorative border, including scalloped, ruffled and zig-zag edges    squares inside one another    squares that are completely or partially shaded    rectangles with a decorative border, including scalloped, ruffled and zig-zag edges    rectangles inside one another    rectangles that are completely or partially shaded    polygons inside one another    polygons that are completely or partially shaded",
87821302,"17,19,26","170,319,091,911,260,000,000,000","170,301,190,903,190,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a hexagonal prism shaped bottle with a hexagonal prism shaped bottle top. the upward facing hexagon side of the bottle top is colored in gold with a red and black outline and containing a concentric gold hexagon indentation having a black single line outline. the outward facing sides of the bottle top feature a black and red crystalline design pattern. the forward facing side of the bottle top features concentric gold colored square designs where the corner of each square is indented. the outward facing sides of the bottle feature a black and red crystalline design pattern. the forward facing side of the bottle features concentric gold colored rectangle designs where the corner of each rectangle is indented. the broken lines depicting the shape of the bottle and bottle top indicate placement of the mark on the goods and are not part of the mark.  stones, gems; nuggets of precious metals; diamonds, jewelry    jars with straight or vertical sides; flasks with straight or vertical sides; bottles, jars or flasks with straight, vertical sides    jars with ribbing or other surface relief; flasks with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief    bottles with sprayers; jugs with pumps; jugs with sprayers; sprayers, bottles or jugs with sprayers; bottles with pumps; atomizers    stoppers, bottle; lids; corks (bottle stoppers); caps, bottle; bottle caps    squares with a decorative border, including scalloped, ruffled and zig-zag edges    squares inside one another    squares that are completely or partially shaded    rectangles with a decorative border, including scalloped, ruffled and zig-zag edges    rectangles inside one another    rectangles that are completely or partially shaded    polygons inside one another    polygons that are completely or partially shaded",
87821305,"17,19,26","170,319,091,911,260,000,000,000","170,301,190,903,190,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a hexagonal prism shaped bottle with a hexagonal prism shaped bottle top. the upward facing hexagon side of the bottle top is colored in gold with a black outline and containing a concentric gold hexagon indentation having a black single line outline. the outward facing sides of the bottle top feature a white and grey crystalline design pattern. the forward facing side of the bottle top features a white, grey and gold crystalline design pattern along with overlapping square designs where a black square is overlapped by a gold square where the corners are each indented. the outward facing sides of the bottle feature a white and grey crystalline design pattern. the forward facing side of the bottle top features a white, black, grey and brown crystalline design pattern along with overlapping rectangle designs where a black rectangle is overlapped by a gold rectangle where the corners are each indented. the broken lines depicting the shape of the bottle and bottle top indicate placement of the mark on the goods and are not part of the mark.  stones, gems; nuggets of precious metals; diamonds, jewelry    jars with straight or vertical sides; flasks with straight or vertical sides; bottles, jars or flasks with straight, vertical sides    jars with ribbing or other surface relief; flasks with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief    bottles with sprayers; jugs with pumps; jugs with sprayers; sprayers, bottles or jugs with sprayers; bottles with pumps; atomizers    stoppers, bottle; lids; corks (bottle stoppers); caps, bottle; bottle caps    squares with a decorative border, including scalloped, ruffled and zig-zag edges    squares inside one another    squares that are completely or partially shaded    rectangles with a decorative border, including scalloped, ruffled and zig-zag edges    rectangles inside one another    rectangles that are completely or partially shaded    polygons inside one another    polygons that are completely or partially shaded",
87821313,"01,17,19,26","10,117,031,909,191,100,000,000","10,104,170,301,170,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a six sided crystal star design shaped bottle with rounded points and a bottle top. the bottle top is made up of a brown colored circular shaped crystal design set within multiple gold and white colored prongs with a textured gold stem featuring two small set white and silver colored crystal circles. each of the rounded points of the bottle is colored in brown with a downward pointing curved triangular design set between each of the rounded points. each of the triangular designs features a white and silver crystal circle at its bottom most point and three centrally positioned smaller white and silver crystal circles in its center with an ornate design at the upper base edge. each downward pointing side of the triangle features seven smaller white and silver crystal circles with a larger white and silver crystal circle at each upper point. where the bottle top and bottle meet, the top of the bottle features two concentric gold circles with five smaller white and silver crystal circles appearing on the opposite sides of the outermost concentric circle. the broken lines depicting the shape of the bottle top indicate placement of the mark on the goods and are not part of the mark.  star a single star with six points    nuggets of precious metals; diamonds, jewelry; stones, gems    locket; necktie clasps and fasteners; pins, jewelry; tie tacks; earrings; brooches; cuff-links    jars with conical or triangular shape; jars with conical or triangular shape; flasks with conical or triangular shape; bottles, jars or flasks of conical or triangular shape    flasks with bulging or protruding sides; jars with bulging or protruding sides; bottles, jars or flasks with bulging, protruding or rounded sides    jars with concave sides; bottles, jars or flasks with concave sides; flasks with concave sides    jars with ribbing or other surface relief; flasks with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief    stoppers, bottle; lids; corks (bottle stoppers); caps, bottle; bottle caps    circles with a decorative border, including scalloped, ruffled and zig-zag edges    circles that are totally or partially shaded.    five or more circles; circles five or more    triangles with a decorative border, including scalloped, ruffled and zig-zag edges    triangles four or more; four or more triangles    triangles that are completely or partially shaded    triangles with one or more curved sides",
87821321,"01,17,19,26","10,117,031,909,191,100,000,000","10,104,170,301,170,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a six sided crystal star design shaped bottle with rounded points and a bottle top. the bottle top is made up of a red colored circular shaped crystal design set within multiple gold and white colored prongs with a textured gold stem featuring two small set white and silver colored crystal circles. each of the rounded points of the bottle is colored in red with a downward pointing curved triangular design set between each of the rounded points. each of the triangular designs features a white and silver crystal circle at its bottom most point and three centrally positioned smaller white and silver crystal circles in its center with an ornate design at the upper base edge. each downward pointing side of the triangle features seven smaller white and silver crystal circles with a larger white and silver crystal circle at each upper point. where the bottle top and bottle meet, the top of the bottle features two concentric gold circles with five smaller white and silver crystal circles appearing on the opposite sides of the outermost concentric circle. the broken lines depicting the shape of the bottle top indicate placement of the mark on the goods and are not part of the mark.  star a single star with six points    nuggets of precious metals; diamonds, jewelry; stones, gems    locket; necktie clasps and fasteners; pins, jewelry; tie tacks; earrings; brooches; cuff-links    jars with conical or triangular shape; jars with conical or triangular shape; flasks with conical or triangular shape; bottles, jars or flasks of conical or triangular shape    flasks with bulging or protruding sides; jars with bulging or protruding sides; bottles, jars or flasks with bulging, protruding or rounded sides    jars with concave sides; bottles, jars or flasks with concave sides; flasks with concave sides    jars with ribbing or other surface relief; flasks with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief    stoppers, bottle; lids; corks (bottle stoppers); caps, bottle; bottle caps    circles with a decorative border, including scalloped, ruffled and zig-zag edges    circles that are totally or partially shaded.    five or more circles; circles five or more    triangles with a decorative border, including scalloped, ruffled and zig-zag edges    triangles four or more; four or more triangles    triangles that are completely or partially shaded    triangles with one or more curved sides",
87821325,"01,17,19,26","10,117,031,909,191,100,000,000","10,104,170,301,170,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a six sided crystal star design shaped bottle with rounded points and a bottle top. the bottle top is made up of a white colored circular shaped crystal design with silver and gold color highlights and shadowing, the design is set within multiple gold and white colored prongs with a textured gold stem featuring two small set white and silver colored crystal circles. each of the rounded points of the bottle is colored in white with silver and gold color highlights and shadowing, a downward pointing curved triangular design is set between each of the rounded points. each of the triangular designs features a white and silver crystal circle at its bottom most point and three centrally positioned smaller white and silver crystal circles in its center with an ornate design at the upper base edge. each downward pointing side of the triangle features seven smaller white and silver crystal circles with a larger white and silver crystal circle at each upper point. where the bottle top and bottle meet, the top of the bottle features two concentric gold circles with five smaller white and silver crystal circles appearing on the opposite sides of the outermost concentric circle. the broken lines depicting the shape of the bottle top indicate placement of the mark on the goods and are not part of the mark.  star a single star with six points    nuggets of precious metals; diamonds, jewelry; stones, gems    locket; necktie clasps and fasteners; pins, jewelry; tie tacks; earrings; brooches; cuff-links    jars with conical or triangular shape; jars with conical or triangular shape; flasks with conical or triangular shape; bottles, jars or flasks of conical or triangular shape    flasks with bulging or protruding sides; jars with bulging or protruding sides; bottles, jars or flasks with bulging, protruding or rounded sides    jars with concave sides; bottles, jars or flasks with concave sides; flasks with concave sides    jars with ribbing or other surface relief; flasks with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief    stoppers, bottle; lids; corks (bottle stoppers); caps, bottle; bottle caps    circles with a decorative border, including scalloped, ruffled and zig-zag edges    circles that are totally or partially shaded.    five or more circles; circles five or more    triangles with a decorative border, including scalloped, ruffled and zig-zag edges    triangles four or more; four or more triangles    triangles that are completely or partially shaded    triangles with one or more curved sides",
87821331,"02,09,17,19,26","2,030,903,170,319,090,000,000,000,000,000","20,309,020,324,090,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a rectangular prism shaped bottle with a bottle top. the bottle top is made up of a gold, white and silver colored ellipsoid shaped crystal design set within multiple gold prongs with a two tiered gold oval base set directly on the upward facing rectangle of the bottle. the left and upward facing rectangles of the bottle feature are colored in gold with a white and silver lip outline. the forward facing rectangle of the bottle is colored in white, gold, black and silver with a gold lip outline and contains a circle shaped relief which is textured and colored in gold. a rectangular gold design extends from the top of the circle shaped relief to the top of the bottle. the rectangular gold design features a white outline and within the circle shaped relief is a figure appearing to extend out of the bottle. the figure is a gold, white and black colored stylized ancient greek woman with long flowing hair and wearing a long dress. the broken lines depicting the shape of the bottle indicate placement of the mark on the goods and are not part of the mark.  women, romans, greeks or egyptian (ancient dress); romans (women); greeks (women); egyptians (women)    women, stylized, including women depicted in caricature form    suits, women's; skirts; gowns, ladies' ball; dresses    stones, gems; diamonds, jewelry; nuggets of precious metals    tie tacks; pins, jewelry; necktie clasps and fasteners; locket; earrings; brooches; cuff-links    flasks with straight or vertical sides; jars with straight or vertical sides; bottles, jars or flasks with straight, vertical sides    jars with ribbing or other surface relief; flasks with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief    bottle caps; caps, bottle; corks (bottle stoppers); lids; stoppers, bottle    circles having geometric figures as a border; circles having humans as a border; circles having objects as a border; circles having plants as a border; geometric figures, objects, humans, plants or animals forming or bordering the perimeter of a circle.; circles having animals as a border    circles that are totally or partially shaded.    ovals with a decorative border, including scalloped, ruffled and zig-zag edges    ovals comprised of letters or numerals; ovals comprised of plants; ovals comprised of punctuation; ovals comprised of humans; letters, numerals, punctuation, geometric figures, objects, humans, plants or animals comprising an oval; ovals comprised of geometric figures; ovals comprised of animals    rectangles made of geometric figures, objects, humans, plants or animals    rectangles that are completely or partially shaded",
87821338,"02,05,09,17,19,26","20,305,030,903,170,300,000,000,000,000,000,000","20,309,020,324,020,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a rectangular prism shaped bottle with a bottle top. the bottle top is made up of a gold, white and silver colored ellipsoid shaped crystal design set within multiple gold prongs with a two tiered gold oval base set directly on the upward facing rectangle of the bottle. the left and upward facing rectangles of the bottle feature are colored in gold with a white and silver lip outline. the forward facing rectangle of the bottle is colored in white, gold, black and silver with a gold lip outline and contains a circle shaped relief which is textured and colored in gold. a rectangular gold design extends from the top of the circle shaped relief to the top of the bottle. the rectangular gold design features a white outline and within the circle shaped relief is a figure appearing to extend out of the bottle. the figure is a gold and black colored stylized ancient greek woman with flowing hair, she is wearing a dress and her hands appear to be transforming into leaved branches. the broken lines depicting the shape of the bottle indicate placement of the mark on the goods and are not part of the mark.  women, romans, greeks or egyptian (ancient dress); romans (women); greeks (women); egyptians (women)    women, stylized, including women depicted in caricature form    other grotesque women including women formed by plants or objects    other branches with leaves, with or without fruit    suits, women's; skirts; gowns, ladies' ball; dresses    stones, gems; nuggets of precious metals; diamonds, jewelry    tie tacks; pins, jewelry; necktie clasps and fasteners; locket; earrings; brooches; cuff-links    jars with straight or vertical sides; flasks with straight or vertical sides; bottles, jars or flasks with straight, vertical sides    jars with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief; flasks with ribbing or other surface relief    bottle caps; caps, bottle; corks (bottle stoppers); lids; stoppers, bottle    circles having geometric figures as a border; circles having humans as a border; circles having objects as a border; circles having plants as a border; geometric figures, objects, humans, plants or animals forming or bordering the perimeter of a circle.; circles having animals as a border    circles that are totally or partially shaded.    ovals with a decorative border, including scalloped, ruffled and zig-zag edges    ovals comprised of letters or numerals; ovals comprised of plants; ovals comprised of punctuation; ovals comprised of humans; letters, numerals, punctuation, geometric figures, objects, humans, plants or animals comprising an oval; ovals comprised of geometric figures; ovals comprised of animals    rectangles made of geometric figures, objects, humans, plants or animals    rectangles that are completely or partially shaded",
87821343,"02,09,17,19,26","2,030,903,170,319,090,000,000,000,000,000","20,309,020,324,090,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a rectangular prism shaped bottle with a bottle top. the bottle top is made up of a gold, white and silver colored ellipsoid shaped crystal design set within multiple gold prongs with a two tiered gold oval base set directly on the upward facing rectangle of the bottle. the left and upward facing rectangles of the bottle feature are colored in gold with a white and silver lip outline. the forward facing rectangle of the bottle is colored in white, gold, black and silver with a gold lip outline and contains a circle shaped relief which is textured and colored in gold. a rectangular gold design extends from the top of the circle shaped relief to the top of the bottle. the rectangular gold design features a white outline and within the circle shaped relief is a figure appearing to extend out of the bottle. the figure is a gold and black colored stylized ancient greek woman wearing a dress and who is holding a white colored crystal ball. the broken lines depicting the shape of the bottle indicate placement of the mark on the goods and are not part of the mark.  women, romans, greeks or egyptian (ancient dress); romans (women); greeks (women); egyptians (women)    women, stylized, including women depicted in caricature form    suits, women's; skirts; gowns, ladies' ball; dresses    stones, gems; diamonds, jewelry; nuggets of precious metals    tie tacks; pins, jewelry; necktie clasps and fasteners; locket; earrings; brooches; cuff-links    flasks with straight or vertical sides; jars with straight or vertical sides; bottles, jars or flasks with straight, vertical sides    jars with ribbing or other surface relief; flasks with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief    bottle caps; caps, bottle; corks (bottle stoppers); lids; stoppers, bottle    circles having geometric figures as a border; circles having humans as a border; circles having objects as a border; circles having plants as a border; geometric figures, objects, humans, plants or animals forming or bordering the perimeter of a circle.; circles having animals as a border    circles that are totally or partially shaded.    ovals with a decorative border, including scalloped, ruffled and zig-zag edges    ovals comprised of letters or numerals; ovals comprised of plants; ovals comprised of punctuation; ovals comprised of humans; letters, numerals, punctuation, geometric figures, objects, humans, plants or animals comprising an oval; ovals comprised of geometric figures; ovals comprised of animals    rectangles made of geometric figures, objects, humans, plants or animals    rectangles that are completely or partially shaded",
87821348,"02,17,19,23,26","201,170,319,091,911,000,000,000,000","20,112,020,131,170,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a rectangular prism shaped bottle with a rectangular prism shaped bottle top. the forward facing rectangle of the bottle top features a crystal design colored in white, gold, black and silver with a gold outline. the left facing rectangle of the bottle top is colored in gold and the upward facing rectangle of the bottle top features a crystal design colored in silver and white. the left and upward facing rectangles of the bottle feature are colored in gold with a white and silver lip outline. the forward facing rectangle of the bottle is colored in white, gold, black and silver with a gold lip outline and contains a circle shaped relief which is textured and colored in gold. a rectangular gold design extends from the top of the circle shaped relief to the top of the bottle. the rectangular gold design features a white outline and within the circle shaped relief is a figure appearing to extend out of the bottle. the figure is a gold and black colored stylized ancient greek man wearing a toga and shooting a bow. the broken lines depicting the shape of the bottle and bottle top indicate placement of the mark on the goods and are not part of the mark.  men, romans, greeks and egyptians (ancient dress); romans (men); greeks (men); egyptians (men)    men, stylized, including men depicted in caricature form    stones, gems; diamonds, jewelry; nuggets of precious metals    jars with straight or vertical sides; flasks with straight or vertical sides; bottles, jars or flasks with straight, vertical sides    jars with ribbing or other surface relief; flasks with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief    lids; stoppers, bottle; corks (bottle stoppers); bottle caps; caps, bottle    crossbows; archery bows; bows, archery    circles having humans as a border; circles having objects as a border; circles having plants as a border; geometric figures, objects, humans, plants or animals forming or bordering the perimeter of a circle.; circles having geometric figures as a border; circles having animals as a border    circles that are totally or partially shaded.    rectangles made of geometric figures, objects, humans, plants or animals    two rectangles; rectangles (exactly two rectangles)    rectangles touching or intersecting    rectangles that are completely or partially shaded",
87821351,"01,02,05,12,19,26","11,102,010,209,051,500,000,000,000,000,000,000","11,102,020,112,020,900,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a three-dimensional configuration of product packaging in the form of a fragrance bottle. the bottle consists of a rectangular prism shaped bottle with a rectangular prism shaped bottle top. the forward facing rectangle of the bottle top features a crystal design colored in white, gold, black and silver with a gold outline. the left facing rectangle of the bottle top is colored in gold and the upward facing rectangle of the bottle top features a crystal design colored in silver and white. the left and upward facing rectangles of the bottle feature are colored in gold with a white and silver lip outline. the forward facing rectangle of the bottle is colored in white, gold, black and silver with a gold lip outline and contains a circle shaped relief which is textured and colored in gold. a rectangular gold design extends from the top of the circle shaped relief to the top of the bottle. the rectangular gold design features a white outline and within the circle shaped relief is a human figure. the figure is a gold and black colored stylized ancient greek man sitting and with a bowed head and hands interlaced in front, with a toga wrapped around the shoulders of the man. the broken lines depicting the shape of the bottle and bottle top indicate placement of the mark on the goods and are not part of the mark.  moons, crescent; partial moons, including half moons and crescent moons (not a moon with craters); moons, half    men, romans, greeks and egyptians (ancient dress); romans (men); greeks (men); egyptians (men)    kneeling, humans; humans, including men, women and children, depicted sitting or kneeling; sitting, humans    crowns of leaves, flowers or fruit    racks, magazine; room dividers; screens, room divider; serving carts; spice racks; vanities; vanities (bedroom); wine rack; racks,  (wall mounted); carts, serving; dividers, room; etageres (shelves); lecterns; lockers; lockers, wall; magazine racks; mantels (fireplace); pens, play; playpens    flasks with straight or vertical sides; bottles, jars or flasks with straight, vertical sides; jars with straight or vertical sides    lids; corks (bottle stoppers); caps, bottle; bottle caps; stoppers, bottle    circles that are totally or partially shaded.    rectangles that are completely or partially shaded",
